 17 Apr 09:45:26 LogHelper | logTestCaseFooter | - Test Case End 	= Wed Apr 17 09:45:26 CDT 2013
 17 Apr 09:45:26 LogHelper | logTestCaseSepStar | - *********************************************************************************
 17 Apr 09:47:00 DefaultRequestDirector | tryExecute | - I/O exception (org.apache.http.NoHttpResponseException) caught when processing request: The target server failed to respond
 17 Apr 09:47:00 DefaultRequestDirector | tryExecute | - Retrying request
 17 Apr 09:47:01 LogHelper | logTestCaseSepStar | - *********************************************************************************
 17 Apr 09:47:01 LogHelper | logTestCaseHeader | - Test Case Id    = impersonatePage
 17 Apr 09:47:01 LogHelper | logTestCaseHeader | - Test Case Desc  = Validates
 17 Apr 09:47:01 LogHelper | logTestCaseHeader | - Test Case Start = Wed Apr 17 09:47:01 CDT 2013
 17 Apr 09:47:01 LogHelper | logTestCaseDash | - ---------------------------------------------------------------------------------
 17 Apr 09:47:01 LogHelper | logTestCaseDash | - ---------------------------------------------------------------------------------
 17 Apr 09:47:01 LogHelper | logTestCaseFooter | - Test Case Checks  = 1
 17 Apr 09:47:01 LogHelper | logTestCaseFooter | - Test Case Errors  = 1
 17 Apr 09:47:01 LogHelper | logTestCaseFooter | - Test Case Known Issues = 
 17 Apr 09:47:01 LogHelper | logTestCaseFooter | - Test Case Status  = FAIL
 17 Apr 09:47:01 LogHelper | logTestCaseFooter | - Test Case Time 	= Wed Apr 17 09:47:01 CDT 2013
 17 Apr 09:47:01 LogHelper | logTestCaseFooter | - Test Case End 	= Wed Apr 17 09:47:01 CDT 2013
 17 Apr 09:47:01 LogHelper | logTestCaseSepStar | - *********************************************************************************
 17 Apr 09:47:42 DefaultRequestDirector | tryExecute | - I/O exception (java.net.SocketException) caught when processing request: Software caused connection abort: recv failed
 17 Apr 09:47:42 DefaultRequestDirector | tryExecute | - Retrying request
 17 Apr 09:47:43 LogHelper | logTestCaseSepStar | - *********************************************************************************
 17 Apr 09:47:43 LogHelper | logTestCaseHeader | - Test Case Id    = impersonatePage
 17 Apr 09:47:43 LogHelper | logTestCaseHeader | - Test Case Desc  = Validates
 17 Apr 09:47:43 LogHelper | logTestCaseHeader | - Test Case Start = Wed Apr 17 09:47:43 CDT 2013
 17 Apr 09:47:43 LogHelper | logTestCaseDash | - ---------------------------------------------------------------------------------
 17 Apr 09:48:26 DefaultRequestDirector | tryExecute | - I/O exception (java.net.SocketException) caught when processing request: Software caused connection abort: recv failed
 17 Apr 09:48:26 DefaultRequestDirector | tryExecute | - Retrying request
 17 Apr 09:48:28 LogHelper | logTestCaseSepStar | - *********************************************************************************
 17 Apr 09:48:28 LogHelper | logTestCaseHeader | - Test Case Id    = impersonatePage
 17 Apr 09:48:28 LogHelper | logTestCaseHeader | - Test Case Desc  = Validates
 17 Apr 09:48:28 LogHelper | logTestCaseHeader | - Test Case Start = Wed Apr 17 09:48:28 CDT 2013
 17 Apr 09:48:28 LogHelper | logTestCaseDash | - ---------------------------------------------------------------------------------
 17 Apr 09:49:07 DefaultRequestDirector | tryExecute | - I/O exception (java.net.SocketException) caught when processing request: Software caused connection abort: recv failed
 17 Apr 09:49:07 DefaultRequestDirector | tryExecute | - Retrying request
 17 Apr 09:49:07 LogHelper | logTestCaseSepStar | - *********************************************************************************
 17 Apr 09:49:07 LogHelper | logTestCaseHeader | - Test Case Id    = impersonatePage
 17 Apr 09:49:07 LogHelper | logTestCaseHeader | - Test Case Desc  = Validates
 17 Apr 09:49:07 LogHelper | logTestCaseHeader | - Test Case Start = Wed Apr 17 09:49:07 CDT 2013
 17 Apr 09:49:07 LogHelper | logTestCaseDash | - ---------------------------------------------------------------------------------
 17 Apr 09:50:32 DefaultRequestDirector | tryExecute | - I/O exception (java.net.SocketException) caught when processing request: Software caused connection abort: recv failed
 17 Apr 09:50:32 DefaultRequestDirector | tryExecute | - Retrying request
 17 Apr 09:50:33 LogHelper | logTestCaseSepStar | - *********************************************************************************
 17 Apr 09:50:33 LogHelper | logTestCaseHeader | - Test Case Id    = impersonatePage
 17 Apr 09:50:33 LogHelper | logTestCaseHeader | - Test Case Desc  = Validates
 17 Apr 09:50:33 LogHelper | logTestCaseHeader | - Test Case Start = Wed Apr 17 09:50:33 CDT 2013
 17 Apr 09:50:33 LogHelper | logTestCaseDash | - ---------------------------------------------------------------------------------
 17 Apr 09:52:17 DefaultRequestDirector | tryExecute | - I/O exception (org.apache.http.NoHttpResponseException) caught when processing request: The target server failed to respond
 17 Apr 09:52:17 DefaultRequestDirector | tryExecute | - Retrying request
 17 Apr 09:52:18 LogHelper | logTestCaseSepStar | - *********************************************************************************
 17 Apr 09:52:18 LogHelper | logTestCaseHeader | - Test Case Id    = impersonatePage
 17 Apr 09:52:18 LogHelper | logTestCaseHeader | - Test Case Desc  = Validates
 17 Apr 09:52:18 LogHelper | logTestCaseHeader | - Test Case Start = Wed Apr 17 09:52:18 CDT 2013
 17 Apr 09:52:18 LogHelper | logTestCaseDash | - ---------------------------------------------------------------------------------
 17 Apr 09:52:18 LogHelper | logTestCaseDash | - ---------------------------------------------------------------------------------
 17 Apr 09:52:18 LogHelper | logTestCaseFooter | - Test Case Checks  = 1
 17 Apr 09:52:18 LogHelper | logTestCaseFooter | - Test Case Errors  = 1
 17 Apr 09:52:18 LogHelper | logTestCaseFooter | - Test Case Known Issues = 
 17 Apr 09:52:18 LogHelper | logTestCaseFooter | - Test Case Status  = FAIL
 17 Apr 09:52:18 LogHelper | logTestCaseFooter | - Test Case Time 	= Wed Apr 17 09:52:18 CDT 2013
 17 Apr 09:52:18 LogHelper | logTestCaseFooter | - Test Case End 	= Wed Apr 17 09:52:18 CDT 2013
 17 Apr 09:52:18 LogHelper | logTestCaseSepStar | - *********************************************************************************
 17 Apr 09:53:05 DefaultRequestDirector | tryExecute | - I/O exception (java.net.SocketException) caught when processing request: Software caused connection abort: recv failed
 17 Apr 09:53:05 DefaultRequestDirector | tryExecute | - Retrying request
 17 Apr 09:53:06 LogHelper | logTestCaseSepStar | - *********************************************************************************
 17 Apr 09:53:06 LogHelper | logTestCaseHeader | - Test Case Id    = impersonatePage
 17 Apr 09:53:06 LogHelper | logTestCaseHeader | - Test Case Desc  = Validates
 17 Apr 09:53:06 LogHelper | logTestCaseHeader | - Test Case Start = Wed Apr 17 09:53:06 CDT 2013
 17 Apr 09:53:06 LogHelper | logTestCaseDash | - ---------------------------------------------------------------------------------
 17 Apr 09:55:01 DefaultRequestDirector | tryExecute | - I/O exception (java.net.SocketException) caught when processing request: Software caused connection abort: recv failed
 17 Apr 09:55:01 DefaultRequestDirector | tryExecute | - Retrying request
 17 Apr 09:55:02 LogHelper | logTestCaseSepStar | - *********************************************************************************
